#ip_address latitude longitude
200.132.1.6 -23.5477 -46.6358
128.8.126.78 38.9779 -77.0075
128.8.126.79 38.9779 -77.0075
137.148.16.11 41.4875 -81.6724
128.10.18.53 40.4259 -86.9081
128.238.88.65 40.6944 -73.9906
157.92.44.102 -34.6033 -58.3816
129.93.229.139 40.8 -96.667
131.123.34.37 41.17 -81.1966
128.112.139.42 40.3756 -74.6597
128.220.231.3 39.3288 -76.5967
134.226.52.35 53.3331 -6.2489
140.112.107.80 25.0392 121.525
128.208.4.197 47.6606 -122.2919
130.216.1.22 -41 174
130.216.1.23 -41 174
216.48.80.12 45.3176 -75.895
162.105.205.22 39.9289 116.3883
128.8.126.98 38.9779 -77.0075
203.30.39.238 1.3667 103.8
138.238.250.155 38.8933 -77.0146
129.22.150.78 41.5074 -81.6053
206.207.248.38 32.2217 -110.9265
200.129.132.19 -1.45 -48.4833
132.181.10.56 -41 174
132.181.10.57 -41 174
155.246.12.164 40.744 -74.0324
62.108.171.74 54.1936 16.1849
136.159.220.40 51.0591 -114.1146
200.129.132.18 -1.45 -48.4833
132.227.62.118 48.8592 2.3417
129.63.159.102 42.6523 -71.3506
130.217.77.4 -41 174
134.121.64.4 46.8387 -117.6443
204.123.28.55 37.3762 -122.1826
130.127.39.152 34.8474 -82.7101
136.159.220.42 51.0591 -114.1146
219.243.208.60 39.9289 116.3883
165.230.49.118 40.5767 -74.3674
131.193.34.38 41.8784 -87.6852
140.114.89.44 25.0392 121.525
149.43.80.22 42.827 -75.5446
128.220.251.50 39.3288 -76.5967
128.220.251.52 39.3288 -76.5967
192.138.213.238 42.3571 -71.0655
165.242.90.129 34.3963 132.4594
202.116.81.194 23.1167 113.25
192.138.213.236 42.3571 -71.0655
128.223.8.114 44.0521 -123.0867
202.116.81.195 23.1167 113.25
165.91.55.10 30.628 -96.3344
165.91.55.11 30.628 -96.3344
133.9.81.164 35.69 139.69
134.88.5.251 41.639 -70.9703
134.117.226.180 45.4127 -75.6742
192.52.240.214 40.4344 -80.0248
131.254.208.10 48.112 -1.6743
211.68.70.42 39.9289 116.3883
134.197.113.4 40.5412 -119.5869
134.117.226.181 45.4127 -75.6742
130.161.40.153 52.0186 4.3782
169.229.50.8 37.8668 -122.2536
169.229.50.9 37.8668 -122.2536
169.229.50.12 37.8668 -122.2536
169.229.50.13 37.8668 -122.2536
169.229.50.11 37.8668 -122.2536
204.56.0.137 39.0344 -94.5722
